strain,description
1097450,Aspergillus lucknowensis CBS 449.75 Annotated Minimal Draft
1097630,Aspergillus luppii CBS 653.74 Annotated Minimal Draft
1187997,Aspergillus mangaliensis DTO 316-C1 Annotated Minimal Draft
1188157,Aspergillus megasporus DTO 048-I3 Annotated Minimal Draft
1097362,Aspergillus microcysticus CBS 120.58 Annotated Minimal Draft
1052266,Aspergillus minisclerotigenes CBS 117635 Annotated Standard Draft
1188085,Aspergillus miraensis CBS 140625 Annotated Minimal Draft
1052272,Aspergillus mottae CBS 130016 Annotated Minimal Draft
1052110,Aspergillus multicolor CBS 133.54 Annotated Standard Draft
1097570,Aspergillus multiplicatus CBS 646958 Annotated Minimal Draft
1052368,Aspergillus muricatus CBS 112808 Annotated Standard Draft
1052374,Aspergillus nakazawae CBS 640.78 Annotated Standard Draft
1052116,Aspergillus navahoensis CBS 351.81 Annotated Standard Draft
1052380,Aspergillus neoauricomus CBS 112787 Annotated Standard Draft
1188165,Aspergillus neocaesiellus DTO 356-D2 Annotated Minimal Draft
1188169,Aspergillus neoconicus CBS 233.90 Annotated Minimal Draft
1052062,Aspergillus neoechinulatus CBS 120.55 Annotated Standard Draft
1097374,Aspergillus neoflavipes CBS 260.73 Annotated Minimal Draft
1097370,Aspergillus neoindicus CBS 444.75 Annotated Minimal Draft
1187917,Aspergillus neostromatioides CBS 265.73 Annotated Minimal Draft
1187885,Aspergillus neowarcupii IBT 29024 Annotated Minimal Draft
1097574,Aspergillus nishimurae IFM 54133 Annotated Minimal Draft
1187857,Aspergillus niveus CBS 471.91 Annotated Minimal Draft
1052278,Aspergillus nomius IBT 12657 Annotated Standard Draft
1052284,Aspergillus novoparasiticus CBS 126849 Annotated Standard Draft
1187897,Aspergillus nutans CBS 121.56 Annotated Minimal Draft
1188109,Aspergillus oerlinghausenensis CBS 139183 Annotated Minimal Draft
1052122,Aspergillus olivicola CBS 597.65 Annotated Standard Draft
1052386,Aspergillus ostianus CBS 103.07 Annotated Standard Draft
1188089,Aspergillus pachycristatus IBT 23550 Annotated Minimal Draft
1097578,Aspergillus papuensis CBS 841.96 Annotated Minimal Draft
1188005,Aspergillus parafelis IBT 34187 Annotated Minimal Draft
1052290,Aspergillus parasiticus CBS 117618 Annotated Standard Draft
1052296,Aspergillus parvisclerotigenus CBS 121.62 Annotated Standard Draft
1051960,Aspergillus parvulus CBS 136.61 Annotated Standard Draft
1051984,Aspergillus penicilloides CBS 540.65 Annotated Standard Draft
1097650,Aspergillus pernambucoensis CBS 137449 Annotated Minimal Draft
1052392,Aspergillus persii CBS 112795 Annotated Standard Draft
1188185,Aspergillus phaeropenciillioides DTO 356-D6 Annotated Minimal Draft
1097582,Aspergillus primulinus CBS 253.94 Annotated Minimal Draft
1052302,Aspergillus pseudocaelatus CBS 117616 Annotated Standard Draft
1097454,Aspergillus pseudodeflectus CBS 756.74 Annotated Minimal Draft
1187841,Aspergillus pseudofelis IBT 34107 Annotated Minimal Draft
1052314,Aspergillus pseudotamarii CBS 117625 Annotated Standard Draft
1097378,Aspergillus pseudoterreus DTO 47-E6 Annotated Minimal Draft
