genome_id,source,genus,species,strain,description
1052050,custom,Aspergillus,dentatus,CBS 114.63,Aspergillus dentatus CBS 114.63 Annotated Standard Draft
1052056,custom,Aspergillus,desertorum,CBS 653.73,Aspergillus desertorum CBS 653.73 Annotated Standard Draft
1187905,custom,Aspergillus,dimorphicus,CBS 649.79,Aspergillus dimorphicus CBS 649.79 Annotated Minimal Draft
1188077,custom,Aspergillus,dromiae,CBS 140633,Aspergillus dromiae CBS 140633 Annotated Minimal Draft
1097534,custom,Aspergillus,duricaulis,CBS 481.65,Aspergillus duricaulis CBS 481.65 Annotated Minimal Draft
1097426,custom,Aspergillus,egyptiacus,CBS 656.73,Aspergillus egyptiacus CBS 656.73 Annotated Minimal Draft
1052356,custom,Aspergillus,elegans,CBS 116.39,Aspergillus elegans CBS 116.39 Annotated Standard Draft
1188141,custom,Aspergillus,endophyticus,DTO 354-I2,Aspergillus endophyticus DTO 354-I2 Annotated Minimal Draft
1052068,custom,Aspergillus,falconensis,CBS 271.91,Aspergillus falconensis CBS 271.91 Annotated Standard Draft
1097538,custom,Aspergillus,ferenczii,CBS 121594,Aspergillus ferenczii CBS 121594 Annotated Minimal Draft
1052074,custom,Aspergillus,filifera,CBS 114510,Aspergillus filifera CBS 114510 Annotated Standard Draft
1097350,custom,Aspergillus,flavipes,IBT 22552,Aspergillus flavipes IBT 22552 Annotated Minimal Draft
1097354,custom,Aspergillus,floccosus,CBS 116.37,Aspergillus floccosus CBS 116.37 Annotated Minimal Draft
1052362,custom,Aspergillus,flocculosus,CBS 112785,Aspergillus flocculosus CBS 112785 Annotated Standard Draft
1188025,custom,Aspergillus,floridensis,DTO 198-A8,Aspergillus floridensis DTO 198-A8 Annotated Minimal Draft
1052080,custom,Aspergillus,foveolata,CBS 279.81,Aspergillus foveolata CBS 279.81 Annotated Standard Draft
1097626,custom,Aspergillus,frequens,CBS 586.65,Aspergillus frequens CBS 586.65 Annotated Minimal Draft
1052086,custom,Aspergillus,fructiculosa,CBS 989.72,Aspergillus fructiculosa CBS 989.72 Annotated Standard Draft
1097542,custom,Aspergillus,fumigatiaffinis,CBS 117186,Aspergillus fumigatiaffinis CBS 117186 Annotated Minimal Draft
1097546,custom,Aspergillus,fumisynnematus,IBT 28474,Aspergillus fumisynnematus IBT 28474 Annotated Minimal Draft
1051948,custom,Aspergillus,funiculosus,CBS 116.56,Aspergillus funiculosus CBS 116.56 Annotated Standard Draft
1097550,custom,Aspergillus,galapagensis,CBS 117522,Aspergillus galapagensis CBS 117522 Annotated Minimal Draft
1097430,custom,Aspergillus,germanicus,CBS 123887,Aspergillus germanicus CBS 123887 Annotated Minimal Draft
1051936,custom,Aspergillus,giganteus,CBS 515.65,Aspergillus giganteus CBS 515.65 Annotated Standard Draft
1097434,custom,Aspergillus,granulosus,CBS 588.65,Aspergillus granulosus CBS 588.65 Annotated Minimal Draft
1097394,custom,Aspergillus,haitiensis,CBS 468.91,Aspergillus haitiensis CBS 468.91 Annotated Minimal Draft
1097558,custom,Aspergillus,hiratsukae,CBS 294.93,Aspergillus hiratsukae CBS 294.93 Annotated Minimal Draft
1187849,custom,Aspergillus,hortai,IBT 26384,Aspergillus hortai IBT 26384 Annotated Minimal Draft
1097518,custom,Aspergillus,igneus,CBS 466.65,Aspergillus igneus CBS 466.65 Annotated Minimal Draft
1097358,custom,Aspergillus,iizukae,CBS 541.69,Aspergillus iizukae CBS 541.69 Annotated Minimal Draft
1052098,custom,Aspergillus,indicus,CBS 952.97,Aspergillus indicus CBS 952.97 Annotated Standard Draft
1051978,custom,Aspergillus,insolitus,CBS 384.61,Aspergillus insolitus CBS 384.61 Annotated Standard Draft
1097442,custom,Aspergillus,insuetus,CBS 107.25,Aspergillus insuetus CBS 107.25 Annotated Minimal Draft
1097482,custom,Aspergillus,karnatakaensis,CBS 102800,Aspergillus karnatakaensis CBS 102800 Annotated Minimal Draft
1097446,custom,Aspergillus,keveii,CBS 209.92,Aspergillus keveii CBS 209.92 Annotated Minimal Draft
1097562,custom,Aspergillus,laciniosus,CBS 117721,Aspergillus laciniosus CBS 117721 Annotated Minimal Draft
1097566,custom,Aspergillus,lentulus,CBS 117885,Aspergillus lentulus CBS 117885 Annotated Minimal Draft
1052260,custom,Aspergillus,leporis,CBS 151.66,Aspergillus leporis CBS 151.66 Annotated Standard Draft
1052212,custom,Aspergillus,longivesica,CBS 530.71,Aspergillus longivesica CBS 530.71 Annotated Standard Draft
1097450,custom,Aspergillus,lucknowensis,CBS 449.75,Aspergillus lucknowensis CBS 449.75 Annotated Minimal Draft
1097630,custom,Aspergillus,luppii,CBS 653.74,Aspergillus luppii CBS 653.74 Annotated Minimal Draft
1187997,custom,Aspergillus,mangaliensis,DTO 316-C1,Aspergillus mangaliensis DTO 316-C1 Annotated Minimal Draft
1188157,custom,Aspergillus,megasporus,DTO 048-I3,Aspergillus megasporus DTO 048-I3 Annotated Minimal Draft
1097362,custom,Aspergillus,microcysticus,CBS 120.58,Aspergillus microcysticus CBS 120.58 Annotated Minimal Draft
1052266,custom,Aspergillus,minisclerotigenes,CBS 117635,Aspergillus minisclerotigenes CBS 117635 Annotated Standard Draft
1188085,custom,Aspergillus,miraensis,CBS 140625,Aspergillus miraensis CBS 140625 Annotated Minimal Draft
1052272,custom,Aspergillus,mottae,CBS 130016,Aspergillus mottae CBS 130016 Annotated Minimal Draft
1052110,custom,Aspergillus,multicolor,CBS 133.54,Aspergillus multicolor CBS 133.54 Annotated Standard Draft
